videoId,views,estimatedMinutesWatched,averageViewDuration
myxNLUrSj54,9.0,165.0,1104.0
PcIH7bsLJTA,2.0,133.0,4003.0
2V6UdZHpWPE,4.0,79.0,1188.0
lw5R_gBE21U,1.0,18.0,1128.0
cVtAoY6iSlQ,1.0,17.0,1039.0
C0QGUhvxZn8,1.0,11.0,697.0
2gtEC_CjkKo,1.0,8.0,514.0
K0g4PfEdFPc,1.0,5.0,338.0
DYGcgt74548,4.0,2.0,34.0
eLQ78aSyG54,3.0,2.0,42.0
33hsYG3oJ5U,5.0,1.0,16.0
eYxuKtZga1A,1.0,0.0,23.0
MW1n99n2jD0,2.0,0.0,7.0
_plQDHjn4wc,1.0,0.0,5.0
PLRjVSfmhPk,2.0,0.0,2.0
T8uslXFFbgw,2.0,0.0,9.0
0DFkn3aU2Lk,1.0,0.0,1.0
WbIPQrDh9Yg,1.0,0.0,2.0
Gm-9DuQk4xI,2.0,0.0,8.0
7CkkLE9Axwk,1.0,0.0,34.0
rZoXhWB0Q2k,1.0,0.0,1.0
